datetime,open,high,low,close,volume,ticker,fetch_time,market_status
2025-05-15 09:09:00+00:00,42051.05859,42051.05859,42051.05859,42051.05859,,^DJI,15/05/2025 9:24,0
2025-05-15 09:09:00+00:00,19146.81055,19146.81055,19146.81055,19146.81055,,^IXIC,15/05/2025 9:24,0
2025-05-15 09:09:00+00:00,8574.730469,8574.730469,8574.730469,8574.730469,0,^FTSE,15/05/2025 9:24,1
2025-05-15 09:09:00+00:00,37755.51172,37755.51172,37755.51172,37755.51172,,^N225,15/05/2025 9:24,0
2025-05-15 09:09:00+00:00,3380.821289,3380.821289,3380.821289,3380.821289,,000001.SS,15/05/2025 9:24,0
2025-05-15 09:10:00+00:00,42051.05859,42051.05859,42051.05859,42051.05859,,^DJI,15/05/2025 9:25,0
2025-05-15 09:10:00+00:00,19146.81055,19146.81055,19146.81055,19146.81055,,^IXIC,15/05/2025 9:25,0
2025-05-15 09:10:00+00:00,8574.320313,8574.320313,8574.320313,8574.320313,0,^FTSE,15/05/2025 9:25,1
2025-05-15 09:10:00+00:00,37755.51172,37755.51172,37755.51172,37755.51172,,^N225,15/05/2025 9:25,0
2025-05-15 09:10:00+00:00,3380.821289,3380.821289,3380.821289,3380.821289,,000001.SS,15/05/2025 9:25,0
2025-05-15 09:11:00+00:00,42051.05859,42051.05859,42051.05859,42051.05859,,^DJI,15/05/2025 9:26,0
2025-05-15 09:11:00+00:00,19146.81055,19146.81055,19146.81055,19146.81055,,^IXIC,15/05/2025 9:26,0
2025-05-15 09:11:00+00:00,8575.169922,8575.169922,8575.169922,8575.169922,0,^FTSE,15/05/2025 9:26,1
2025-05-15 09:11:00+00:00,37755.51172,37755.51172,37755.51172,37755.51172,,^N225,15/05/2025 9:26,0
2025-05-15 09:11:00+00:00,3380.821289,3380.821289,3380.821289,3380.821289,,000001.SS,15/05/2025 9:26,0
2025-05-15 09:12:00+00:00,42051.05859,42051.05859,42051.05859,42051.05859,,^DJI,15/05/2025 9:27,0
2025-05-15 09:12:00+00:00,19146.81055,19146.81055,19146.81055,19146.81055,,^IXIC,15/05/2025 9:27,0
2025-05-15 09:12:00+00:00,8574.620117,8574.620117,8574.620117,8574.620117,0,^FTSE,15/05/2025 9:27,1
2025-05-15 09:12:00+00:00,37755.51172,37755.51172,37755.51172,37755.51172,,^N225,15/05/2025 9:27,0
2025-05-15 09:12:00+00:00,3380.821289,3380.821289,3380.821289,3380.821289,,000001.SS,15/05/2025 9:27,0
2025-05-15 09:13:00+00:00,42051.05859,42051.05859,42051.05859,42051.05859,,^DJI,15/05/2025 9:28,0
2025-05-15 09:13:00+00:00,19146.81055,19146.81055,19146.81055,19146.81055,,^IXIC,15/05/2025 9:28,0
2025-05-15 09:13:00+00:00,8573.740234,8573.740234,8573.740234,8573.740234,0,^FTSE,15/05/2025 9:28,1
2025-05-15 09:13:00+00:00,37755.51172,37755.51172,37755.51172,37755.51172,,^N225,15/05/2025 9:28,0
2025-05-15 09:13:00+00:00,3380.821289,3380.821289,3380.821289,3380.821289,,000001.SS,15/05/2025 9:28,0
2025-05-15 09:14:00+00:00,42051.05859,42051.05859,42051.05859,42051.05859,,^DJI,15/05/2025 9:30,0
2025-05-15 09:14:00+00:00,19146.81055,19146.81055,19146.81055,19146.81055,,^IXIC,15/05/2025 9:30,0
2025-05-15 09:14:00+00:00,8574.519531,8574.519531,8574.519531,8574.519531,0,^FTSE,15/05/2025 9:30,1
2025-05-15 09:14:00+00:00,37755.51172,37755.51172,37755.51172,37755.51172,,^N225,15/05/2025 9:30,0
2025-05-15 09:14:00+00:00,3380.821289,3380.821289,3380.821289,3380.821289,,000001.SS,15/05/2025 9:30,0
2025-05-15 09:15:00+00:00,42051.05859,42051.05859,42051.05859,42051.05859,,^DJI,15/05/2025 9:31,0
2025-05-15 09:15:00+00:00,19146.81055,19146.81055,19146.81055,19146.81055,,^IXIC,15/05/2025 9:31,0
2025-05-15 09:15:00+00:00,8576.839844,8576.839844,8576.839844,8576.839844,0,^FTSE,15/05/2025 9:31,1
2025-05-15 09:15:00+00:00,37755.51172,37755.51172,37755.51172,37755.51172,,^N225,15/05/2025 9:31,0
2025-05-15 09:15:00+00:00,3380.821289,3380.821289,3380.821289,3380.821289,,000001.SS,15/05/2025 9:31,0
2025-05-15 09:17:00+00:00,42051.05859,42051.05859,42051.05859,42051.05859,,^DJI,15/05/2025 9:32,0
2025-05-15 09:17:00+00:00,19146.81055,19146.81055,19146.81055,19146.81055,,^IXIC,15/05/2025 9:32,0
2025-05-15 09:17:00+00:00,8576.719727,8576.719727,8576.719727,8576.719727,0,^FTSE,15/05/2025 9:32,1
2025-05-15 09:17:00+00:00,37755.51172,37755.51172,37755.51172,37755.51172,,^N225,15/05/2025 9:32,0
2025-05-15 09:17:00+00:00,3380.821289,3380.821289,3380.821289,3380.821289,,000001.SS,15/05/2025 9:32,0
2025-05-15 09:18:00+00:00,42051.05859,42051.05859,42051.05859,42051.05859,,^DJI,15/05/2025 9:33,0
2025-05-15 09:18:00+00:00,19146.81055,19146.81055,19146.81055,19146.81055,,^IXIC,15/05/2025 9:33,0
